MATH2050, Mini-Midterm, Jan 23, 12:40-15:00, UA1350, 5, 90
MATH2050, Midterm 1, Feb 13, 12:40-15:00, UA1350, 17.5, 90
MATH2050, Midterm 2, Mar 19, 12:40-15:00, UA1350, 17.5, 90
CSCI2072, Midterm 1, Feb 11, 15:40-17:00, UA1350, 15, 90
CSCI2020, Midterm 1, Feb 26, 15:40-17:00, UA1120, 10, 80
CSCI2020, Midterm 2, Mar 18, 15:40-17:00, UA1120, 10, 80
CSCI2160, Midterm 1, Feb 24, 8:10-9:30, UP1501, 10, 90
CSCI2160, Midterm 2, Mar 16, 8:10-9:30, UP1501, 10, 90
CSCI2040, Midterm 1, Feb 27, 17:10-18:30, UA1120, 20, 60


